INPUT NAME, N, P, R, DISTRIBUTE_READ, TIME, TIME(DD), TIME(BS), TIME(PV), TIME(FE), TIME(FE-PV), SPEEDUP, SPEEDUP(DD), SPEEDUP(BS), SPEEDUP(PV), SPEEDUP(FE), SPEEDUP(FE-PV) 
matrix_1024_0.txt, 1024, 1, 64, 0, 13901.574707, 5004.410156, 4485.108398, 188.476181, 4412.056152, 4223.579971, 1.0, 1.0, 1.0, 1.0
matrix_1024_0.txt, 1024, 2, 64, 0, 13784.006836, 4834.286621, 4713.434570, 502.258820, 4236.285645, 3734.026825, 0.955949, 1.035191, 0.951558, 0.375257, 1.041492, 1.131106
matrix_1024_0.txt, 1024, 4, 64, 0, 14765.709961, 5218.292969, 4980.399902, 560.141724, 4567.017090, 4006.875366, 0.901590, 0.959013, 0.900552, 0.336479, 0.966070, 1.054083
matrix_1024_0.txt, 1024, 8, 64, 0, 9925.673828, 3687.171875, 3176.645996, 664.274658, 3061.855957, 2397.581299, 1.335485, 1.357249, 1.411900, 0.283732, 1.440974, 1.761600
matrix_2048_0.txt, 2048, 1, 64, 0, 103096.968750, 35933.222656, 33725.203125, 806.471619, 33438.542969, 32632.071350, 1.0, 1.0, 1.0, 1.0
matrix_128_0.txt, 128, 1, 128, 0, 34.674799, 18.131901, 8.961914, 0.810375, 7.580984, 6.770609, 1.0, 1.0, 1.0, 1.0
matrix_512_0.txt, 512, 1, 128, 0, 741.718077, 154.659958, 17.991102, 38.777782, 569.067017, 530.289234, 1.0, 1.0, 1.0, 1.0
matrix_512_0.txt, 512, 2, 128, 0, 672.235948, 150.129929, 15.516969, 118.691925, 506.589050, 387.897125, 1.103360, 1.030174, 1.159440, 0.326711, 1.123331, 1.367087
matrix_512_0.txt, 512, 4, 128, 0, 793.727809, 158.237915, 15.181911, 176.942535, 620.307983, 443.365448, 0.934474, 0.977389, 1.185029, 0.219156, 0.917394, 1.196054
matrix_1024_0.txt, 1024, 1, 128, 0, 5093.656830, 615.281921, 72.993073, 190.999176, 4405.381836, 4214.382660, 1.0, 1.0, 1.0, 1.0
matrix_1024_0.txt, 1024, 2, 128, 0, 4727.370068, 594.782104, 63.806957, 398.366974, 4068.781006, 3670.414032, 1.077482, 1.034466, 1.143966, 0.479455, 1.082728, 1.148204
matrix_1024_0.txt, 1024, 4, 128, 0, 5305.520882, 621.138123, 82.604927, 557.410034, 4601.777832, 4044.367798, 0.960067, 0.990572, 0.883640, 0.342654, 0.957322, 1.042037
matrix_2048_0.txt, 2048, 1, 128, 0, 37500.106720, 2520.656982, 286.352081, 742.738708, 34693.097656, 33950.358948, 1.0, 1.0, 1.0, 1.0
matrix_2048_0.txt, 2048, 2, 128, 0, 34502.019653, 2474.236816, 570.821899, 1390.190063, 31456.960938, 30066.770874, 1.086896, 1.018761, 0.501649, 0.534272, 1.102875, 1.129165
matrix_2048_0.txt, 2048, 4, 128, 0, 35374.512421, 2414.628174, 471.476044, 1827.932983, 32488.408203, 30660.475220, 1.060088, 1.043911, 0.607352, 0.406327, 1.067861, 1.107300
matrix_1024_0.txt, 1024, 8, 128, 0, 4402.535149, 640.666016, 89.782951, 913.849854, 3672.086182, 2758.236328, 1.156983, 0.960379, 0.812994, 0.209005, 1.199695, 1.527927
matrix_128_0.txt, 128, 1, 1, 1, 19.360820, 10.500896, 1.366014, 0.833833, 7.493910, 6.660077, 1.0, 1.0, 1.0, 1.0
matrix_2048_0.txt, 2048, 8, 128, 0, 25313.604767, 2561.983887, 316.284943, 3096.824951, 22435.335938, 19338.510986, 1.481421, 0.983869, 0.905361, 0.239839, 1.546360, 1.755583
matrix_128_0.txt, 128, 2, 1, 1, 61.875014, 5.553021, 40.966030, 10.587061, 15.355963, 4.768902, 0.312905, 1.891043, 0.033345, 0.078775, 0.488019, 1.396548
